Country,AvgDensity,Pct,Temp,PopDensity,N,Tourists,UniqueReports,GDPQuentile
Afghanistan,506.9128744,2,16.533625,56.93776001,38041754,0,411,1
Angola,3392.062074,33,22.507875,24.71305206,31825295,218000,356,2
Albania,5056.215282,44,14.993875,104.6122628,2854191,6406000,415,3
Andorra,40547.44226,88,12.307875,163.8425532,77142,8235000,284,5
United Arab Emirates,42529.16115,90,29.370625,135.6091101,9770529,21553000,417,5
Argentina,12052.94055,69,14.457125,16.2585101,44938712,7399000,413,4
Armenia,4252.575013,39,11.34375,103.6802248,2957731,1894000,414,2
Australia,55481.08566,95,22.142875,3.24787091,25364307,9466000,431,5
Austria,49680.82,93,8.055125,107.1318589,8877067,31884000,427,5
Azerbaijan,4560.172815,42,14.173875,120.2575919,10023318,3170000,412,3
Burundi,275.3323825,0,20.86275,435.178271,11530580,0,216,1
Belgium,46065.45391,92,10.060125,377.3795905,11484055,9343000,417,5
Benin,1198.951661,13,28.160625,101.8539198,11801151,337000,119,1
Burkina Faso,778.32897,7,29.3855,72.19128289,20321378,143000,337,1
Bangladesh,1706.001306,23,25.9675,1239.579312,163046161,323000,408,2
Bulgaria,9196.653558,60,13.411875,64.71109985,6975761,12552000,409,3
Bahrain,23746.00628,80,27.925375,2012.101282,1641172,11061000,424,4
Belarus,6251.705886,50,8.2665,46.72134693,9466856,11832000,403,3
Belize,4862.491694,43,26.21333333,16.79399386,390353,1674000,241,3
Bolivia,3483.927653,34,20.640875,10.48014585,11513100,1239000,409,2
Brazil,9214.602255,61,25.348125,25.06171624,211049527,6353000,414,4
Barbados,17761.62142,76,27.251125,666.6069767,287025,966000,248,4
Bhutan,3282.078818,33,13.331375,19.77960147,763092,316000,201,2
Botswana,8044.719818,57,21.82575,3.977424876,2303697,0,103,3
Central African Republic,464.9204318,1,26.210875,7.490412212,4745185,0,161,1
Canada,45885.4831,91,-1.640666667,4.133332553,37589262,32430000,436,5
Switzerland,81753.94327,99,8.1775,215.4651922,8574832,11818000,358,5
Chile,15273.5394,71,9.877375,25.18944713,18952038,5431000,418,4
China,9690.915378,63,9.295,147.7744195,1397715000,162538000,454,4
Cameroon,1489.017242,18,25.307625,53.34398891,25876380,0,149,1
Colombia,6507.431507,51,25.5795,44.75985219,50339443,4529000,415,3
Comoros,1369.971703,16,26.542875,447.2444922,850886,45099.99847,176,1
Costa Rica,12056.85747,69,26.45755556,97.91306306,5047561,3366000,340,4
Cyprus,27628.92402,82,20.349875,128.7083333,1198575,4117000,390,5
Germany,46269.52538,92,9.23525,237.2940123,83132799,39563000,438,5
Djibouti,3157.065982,32,30.74475,41.36842105,973560,0,328,2
Dominica,7693.056238,54,26.922125,95.5,71808,322000,50,3
Denmark,59792.99251,95,-14.92725,144.8409,5818553,32903000,412,5
Dominican Republic,7980.6952,57,26.29033333,219.9785759,10738958,7550000,408,3
Algeria,4079.664053,38,25.1215,17.73006763,43053054,2371000,419,2
Ecuador,6231.086833,49,22.264125,68.78868175,17373662,2108000,401,3
Spain,29386.6357,82,14.858875,93.66979208,47076781,126170000,333,5
Estonia,22450.82474,79,6.96175,30.41124914,1326590,6103000,402,4
Ethiopia,798.6023279,8,24.6315,96.71878268,112078730,812000,392,1
Finland,48383.44301,93,4.064125,18.14795012,5520314,3290000,417,5
Fiji,6198.135804,49,25.941375,48.35703339,889953,969000,46,3
France,40312.39345,88,13.584625,122.2994355,67059887,0,434,5
Gabon,7651.345871,54,24.8385,8.224764233,2172579,0,197,3
United Kingdom,41911.58758,89,8.9975,274.7089819,66834405,40857000,444,5
Georgia,4592.497765,42,10.686625,65.19733021,3720382,7726000,416,3
Ghana,2143.453385,27,27.7175,130.8214292,30417856,0,292,2
Guinea,899.0043873,10,26.68675,50.52221227,12771246,0,325,1
Equatorial Guinea,9314.677317,62,25.5905,46.66573975,1355986,0,120,4
Greece,19612.3532,78,17.1535,83.26518231,10716322,34005000,419,4
Grenada,10482.4707,65,27.612875,327.8058824,112003,526000,41,4
Guatemala,4514.776203,41,24.29133333,152.5471258,16604026,2560000,402,3
Guyana,6293.452934,50,26.6875,3.957348235,782766,315000,345,3
Honduras,2511.47228,29,25.73233333,85.68703191,9746117,2315000,383,2
Croatia,14467.27017,70,13.589,72.23613713,4067500,60021000,407,4
Haiti,1334.027476,14,27.03155556,403.5985486,11263077,938000,283,1
Hungary,15915.95437,73,12.3015,107.1177296,9769949,61397000,416,4
Indonesia,3955.68914,36,26.467,142.5623043,270625568,16107000,418,2
India,2029.037701,25,25.41325,454.9380726,1366417754,17914000,423,2
