,state,county,N
0,Alabama,Autauga,55036
1,Alabama,Baldwin,203360
2,Alabama,Barbour,26201
3,Alabama,Bibb,22580
4,Alabama,Blount,57667
5,Alabama,Bullock,10478
6,Alabama,Butler,20126
7,Alabama,Calhoun,115527
8,Alabama,Chambers,33895
9,Alabama,Cherokee,25855
10,Alabama,Chilton,43805
11,Alabama,Choctaw,13188
12,Alabama,Clarke,24625
13,Alabama,Clay,13407
14,Alabama,Cleburne,14939
15,Alabama,Coffee,51073
16,Alabama,Colbert,54435
17,Alabama,Conecuh,12649
18,Alabama,Coosa,10955
19,Alabama,Covington,37519
20,Alabama,Crenshaw,13866
21,Alabama,Cullman,81703
22,Alabama,Dale,49393
23,Alabama,Dallas,40755
24,Alabama,DeKalb,71194
25,Alabama,Elmore,80989
26,Alabama,Escambia,37621
27,Alabama,Etowah,103132
28,Alabama,Fayette,16657
29,Alabama,Franklin,31507
30,Alabama,Geneva,26572
31,Alabama,Greene,8533
32,Alabama,Hale,14995
33,Alabama,Henry,17110
34,Alabama,Houston,104108
35,Alabama,Jackson,52326
36,Alabama,Jefferson,659460
37,Alabama,Lamar,14021
38,Alabama,Lauderdale,92590
39,Alabama,Lawrence,33288
40,Alabama,Lee,156597
41,Alabama,Limestone,91695
42,Alabama,Lowndes,10362
43,Alabama,Macon,19358
44,Alabama,Madison,353213
45,Alabama,Marengo,19743
46,Alabama,Marion,30058
47,Alabama,Marshall,94738
48,Alabama,Mobile,414328
49,Alabama,Monroe,21745
50,Alabama,Montgomery,227120
51,Alabama,Morgan,119157
52,Alabama,Perry,9680
53,Alabama,Pickens,20170
54,Alabama,Pike,33287
55,Alabama,Randolph,22530
56,Alabama,Russell,58480
57,Alabama,St. Clair,86937
58,Alabama,Shelby,208721
59,Alabama,Sumter,13084
60,Alabama,Talladega,80888
61,Alabama,Tallapoosa,40756
62,Alabama,Tuscaloosa,204424
63,Alabama,Walker,64927
64,Alabama,Washington,16746
65,Alabama,Wilcox,10919
66,Alabama,Winston,23968
67,Alaska,Aleutians East ,3338
68,Alaska,Aleutians West Cens,5784
69,Alaska,Anchorage Munic,298225
70,Alaska,Bethel Cens,17957
71,Alaska,Bristol Bay ,917
72,Alaska,Denali ,2303
73,Alaska,Dillingham Cens,4974
74,Alaska,Fairbanks North Star ,100031
75,Alaska,Haines ,2537
76,Alaska,Hoonah-Angoon Cens,2146
77,Alaska,Juneau City and ,32434
78,Alaska,Kenai Peninsula ,57961
79,Alaska,Ketchikan Gateway ,13745
80,Alaska,Kodiak Island ,13773
81,Alaska,Kusilvak Cens,8129
82,Alaska,Lake and Peninsula ,1301
83,Alaska,Matanuska-Susitna ,101135
84,Alaska,Nome Cens,9869
85,Alaska,North Slope ,9757
86,Alaska,Northwest Arctic ,7715
87,Alaska,Petersburg ,3275
88,Alaska,Prince of Wales-Hyder Cens,6473
89,Alaska,Sitka City and ,8810
90,Alaska,Skagway Munic,1038
91,Alaska,Southeast Fairbanks Cens,6889
92,Alaska,Valdez-Cordova Cens,9439
93,Alaska,Wrangell City and ,2475
94,Alaska,Yakutat City and ,682
95,Alaska,Yukon-Koyukuk Cens,5453
96,Arizona,Apache,71602
97,Arizona,Cochise,126516
98,Arizona,Coconino,138639
99,Arizona,Gila,53145
100,Arizona,Graham,37700
101,Arizona,Greenlee,9368
102,Arizona,La Paz,20477
103,Arizona,Maricopa,4155501
104,Arizona,Mohave,204691
105,Arizona,Navajo,107902
106,Arizona,Pima,1007257
107,Arizona,Pinal,405537
108,Arizona,Santa Cruz,46358
109,Arizona,Yavapai,220972
